Age,Gender,Occupation,Platforms_Used,Daily_Usage,Daily_App_Opens,Typical_Usage_Time,Main_Usage_Reason,Average_Session_Duration,Difficulty_Stopping,Watch_More_Than_Planned,Unintentional_App_Opening,Attempt_To_Reduce,Impact_On_Study_Work,Sleep_Delay,Task_Procrastination,Regret_After_Use,Risk_Score,Risk_Level
أكثر من 40,أنثى,موظف,TikTok;Instagram Reels;Snapchat Spotlight;,2-4 ساعات,11–20,طوال اليوم,التخلص من الملل,10–30 دقيقة,2,2,2,2,2,2,1,1,14,Moderate
أكثر من 40,أنثى,أخرى,TikTok;Instagram Reels;YouTube Shorts;Snapchat Spotlight;,أكثر من 4 ساعات,11–20,طوال اليوم,التعلم,أكثر من ساعة,2,4,2,4,2,3,2,4,23,High
23-30,,أخرى,TikTok;Instagram Reels;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,أكثر من 20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,0,0,0,2,0,0,0,0,2,Low
أكثر من 40,أنثى,أخرى,TikTok;Snapchat Spotlight;YouTube Shorts;Instagram Reels;أخرى;,أقل من 30 دقيقة,5–10,قبل النوم,التعلم,10–30 دقيقة,0,1,1,2,0,1,0,0,5,Low
18-22,أنثى,باحث عن عمل,TikTok;Snapchat Spotlight;,1-2 ساعة,5–10,طوال اليوم,الترفيه,10–30 دقيقة,2,4,4,4,2,3,2,4,25,High
أكثر من 40,أنثى,أخرى,TikTok;Instagram Reels;Snapchat Spotlight;,أكثر من 4 ساعات,11–20,طوال اليوم,الترفيه,أقل من 10 دقائق,2,2,2,3,1,4,0,0,14,Moderate
أكثر من 40,أنثى,موظف,TikTok;Instagram Reels;YouTube Shorts;,1-2 ساعة,5–10,طوال اليوم,متابعة المحتوى,أقل من 10 دقائق,2,2,0,2,2,2,2,2,14,Moderate
18-22,أنثى,طالب,TikTok;,30 - 60 دقيقة,أقل من 5 مرات,طوال اليوم,الترفيه,10–30 دقيقة,2,3,2,4,2,2,2,3,20,Moderate
18-22,ذكر,طالب,TikTok;Instagram Reels;YouTube Shorts;,2-4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,4,2,3,2,2,2,21,Moderate
23-30,ذكر,موظف,TikTok;Instagram Reels;,2-4 ساعات,11–20,عند الاستيقاظ,متابعة المحتوى,30–60 دقيقة,1,1,2,1,1,1,1,2,10,Low
31-40,ذكر,موظف,YouTube Shorts;,أقل من 30 دقيقة,أقل من 5 مرات,قبل النوم,متابعة المحتوى,10–30 دقيقة,0,0,0,2,1,0,0,0,3,Low
أقل من 18,أنثى,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,الترفيه,أكثر من ساعة,1,1,3,1,1,2,2,2,13,Moderate
23-30,أنثى,باحث عن عمل,TikTok;Instagram Reels;YouTube Shorts;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,أكثر من ساعة,4,4,4,3,3,2,2,2,24,High
أكثر من 40,أنثى,موظف,TikTok;Snapchat Spotlight;,2-4 ساعات,11–20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,1,2,1,2,1,1,1,1,10,Low
18-22,أنثى,طالب,TikTok;YouTube Shorts;,30 - 60 دقيقة,أقل من 5 مرات,طوال اليوم,متابعة المحتوى,10–30 دقيقة,2,2,1,3,2,1,1,3,15,Moderate
23-30,ذكر,موظف,Instagram Reels;YouTube Shorts;Snapchat Spotlight;TikTok;,30 - 60 دقيقة,11–20,أثناء الدراسة أو العمل,الهروب من التوتر,30–60 دقيقة,0,1,0,1,1,1,1,1,6,Low
23-30,أنثى,باحث عن عمل,TikTok;Instagram Reels;YouTube Shorts;,1-2 ساعة,11–20,طوال اليوم,متابعة المحتوى,أكثر من ساعة,2,3,3,2,2,2,2,2,18,Moderate
31-40,ذكر,موظف,TikTok;YouTube Shorts;,2-4 ساعات,11–20,عند الاستيقاظ,التخلص من الملل,30–60 دقيقة,3,3,2,2,1,2,2,2,17,Moderate
23-30,أنثى,موظف,YouTube Shorts;Snapchat Spotlight;,30 - 60 دقيقة,11–20,طوال اليوم,متابعة المحتوى,أكثر من ساعة,1,1,1,2,2,2,2,2,13,Moderate
31-40,أنثى,موظف,YouTube Shorts;TikTok;,1-2 ساعة,5–10,قبل النوم,متابعة المحتوى,10–30 دقيقة,0,0,1,1,1,0,0,0,3,Low
18-22,ذكر,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,11–20,طوال اليوم,الترفيه,30–60 دقيقة,2,3,3,2,2,3,3,2,20,Moderate
أكثر من 40,أنثى,أخرى,TikTok;Snapchat Spotlight;YouTube Shorts;,2-4 ساعات,أقل من 5 مرات,طوال اليوم,متابعة المحتوى,أكثر من ساعة,1,1,2,1,1,1,1,1,9,Low
أقل من 18,ذكر,طالب,TikTok;Instagram Reels;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,5–10,طوال اليوم,الترفيه,30–60 دقيقة,1,1,1,1,1,1,1,1,8,Low
23-30,ذكر,موظف,YouTube Shorts;TikTok;,1-2 ساعة,11–20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,3,3,2,3,2,2,2,2,19,Moderate
31-40,أنثى,موظف,TikTok;Instagram Reels;YouTube Shorts;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,أثناء الدراسة أو العمل,الهروب من التوتر,أكثر من ساعة,1,3,3,3,4,3,1,1,19,Moderate
أكثر من 40,ذكر,موظف,Snapchat Spotlight;YouTube Shorts;,1-2 ساعة,11–20,طوال اليوم,الترفيه,30–60 دقيقة,1,1,0,1,2,2,2,2,11,Moderate
23-30,أنثى,باحث عن عمل,TikTok;YouTube Shorts;,2-4 ساعات,5–10,طوال اليوم,متابعة المحتوى,أكثر من ساعة,2,2,2,2,2,2,2,2,16,Moderate
18-22,ذكر,طالب,TikTok;,30 - 60 دقيقة,أقل من 5 مرات,طوال اليوم,متابعة المحتوى,10–30 دقيقة,1,1,1,0,1,0,0,2,6,Low
23-30,ذكر,موظف,Instagram Reels;YouTube Shorts;,30 - 60 دقيقة,5–10,قبل النوم,الترفيه,30–60 دقيقة,2,2,2,2,1,1,1,2,13,Moderate
23-30,ذكر,موظف,TikTok;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,11–20,طوال اليوم,التخلص من الملل,30–60 دقيقة,3,3,2,1,1,2,2,2,16,Moderate
23-30,أنثى,موظف,TikTok;Instagram Reels;YouTube Shorts;,30 - 60 دقيقة,5–10,طوال اليوم,الترفيه,30–60 دقيقة,3,3,2,2,1,0,1,2,14,Moderate
18-22,أنثى,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,5–10,عند الاستيقاظ,متابعة المحتوى,10–30 دقيقة,1,1,1,2,1,1,1,1,9,Low
أقل من 18,ذكر,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;Instagram Reels;,أكثر من 4 ساعات,11–20,طوال اليوم,الترفيه,30–60 دقيقة,4,4,3,3,1,1,1,1,18,Moderate
18-22,أنثى,طالب,TikTok;,2-4 ساعات,5–10,طوال اليوم,التعلم,30–60 دقيقة,2,2,2,2,2,2,2,2,16,Moderate
31-40,ذكر,موظف,TikTok;YouTube Shorts;,1-2 ساعة,5–10,أثناء الدراسة أو العمل,الهروب من التوتر,30–60 دقيقة,3,3,3,2,3,2,2,3,21,Moderate
23-30,أنثى,باحث عن عمل,TikTok;Instagram Reels;,أكثر من 4 ساعات,11–20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,4,2,1,2,2,2,19,Moderate
18-22,أنثى,باحث عن عمل,TikTok;YouTube Shorts;أخرى;,أقل من 30 دقيقة,أكثر من 20,طوال اليوم,متابعة المحتوى,أقل من 10 دقائق,0,1,0,2,0,2,0,0,5,Low
18-22,ذكر,طالب,TikTok;YouTube Shorts;,2-4 ساعات,أقل من 5 مرات,طوال اليوم,متابعة المحتوى,30–60 دقيقة,2,2,1,3,2,1,1,3,15,Moderate
23-30,أنثى,موظف,TikTok;YouTube Shorts;Instagram Reels;,1-2 ساعة,أقل من 5 مرات,قبل النوم,متابعة المحتوى,30–60 دقيقة,1,1,0,1,1,1,1,1,7,Low
31-40,أنثى,موظف,YouTube Shorts;TikTok;,1-2 ساعة,أقل من 5 مرات,عند الاستيقاظ,متابعة المحتوى,10–30 دقيقة,1,1,1,1,1,1,1,1,8,Low
23-30,ذكر,موظف,TikTok;,1-2 ساعة,أقل من 5 مرات,عند الاستيقاظ,متابعة المحتوى,10–30 دقيقة,1,1,1,1,1,1,1,1,8,Low
31-40,ذكر,باحث عن عمل,Snapchat Spotlight;TikTok;,أكثر من 4 ساعات,11–20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,2,3,2,2,2,2,19,Moderate
23-30,ذكر,موظف,Instagram Reels;YouTube Shorts;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,30–60 دقيقة,1,1,1,1,1,1,1,1,8,Low
أقل من 18,ذكر,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;,1-2 ساعة,11–20,طوال اليوم,الترفيه,30–60 دقيقة,1,1,1,1,1,1,1,1,8,Low
18-22,أنثى,طالب,TikTok;YouTube Shorts;Instagram Reels;,2-4 ساعات,5–10,طوال اليوم,الهروب من التوتر,أكثر من ساعة,2,2,2,2,2,2,2,2,16,Moderate
23-30,أنثى,موظف,TikTok;YouTube Shorts;,2-4 ساعات,11–20,أثناء الدراسة أو العمل,التخلص من الملل,30–60 دقيقة,2,2,1,1,1,1,0,0,8,Low
31-40,أنثى,موظف,TikTok;Snapchat Spotlight;,1-2 ساعة,أقل من 5 مرات,قبل النوم,متابعة المحتوى,10–30 دقيقة,1,1,1,1,1,1,1,1,8,Low
23-30,أنثى,موظف,TikTok;Instagram Reels;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,30–60 دقيقة,2,2,1,1,1,1,1,1,10,Low
23-30,ذكر,موظف,Instagram Reels;Snapchat Spotlight;YouTube Shorts;TikTok;,أكثر من 4 ساعات,11–20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,3,3,3,2,3,4,24,High
23-30,ذكر,باحث عن عمل,TikTok;Instagram Reels;YouTube Shorts;,2-4 ساعات,5–10,طوال اليوم,متابعة المحتوى,30–60 دقيقة,3,3,2,2,2,2,2,2,18,Moderate
أكثر من 40,ذكر,موظف,TikTok;Snapchat Spotlight;,1-2 ساعة,5–10,طوال اليوم,متابعة المحتوى,أكثر من ساعة,2,2,1,2,1,1,1,1,11,Moderate
18-22,ذكر,طالب,TikTok;Instagram Reels;Snapchat Spotlight;,2-4 ساعات,5–10,طوال اليوم,التخلص من الملل,30–60 دقيقة,2,2,1,1,1,1,2,3,13,Moderate
23-30,أنثى,موظف,TikTok;YouTube Shorts;,1-2 ساعة,5–10,طوال اليوم,الترفيه,30–60 دقيقة,2,2,2,2,2,2,2,2,16,Moderate
23-30,ذكر,طالب,Instagram Reels;YouTube Shorts;TikTok;,1-2 ساعة,11–20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,2,2,2,3,2,2,2,3,18,Moderate
23-30,ذكر,باحث عن عمل,YouTube Shorts;TikTok;,1-2 ساعة,5–10,قبل النوم,الهروب من التوتر,أكثر من ساعة,2,2,2,2,2,2,2,3,17,Moderate
31-40,ذكر,موظف,TikTok;YouTube Shorts;,2-4 ساعات,5–10,طوال اليوم,متابعة المحتوى,30–60 دقيقة,2,2,1,2,1,1,1,1,11,Moderate
